Date,Open,High,Low,Close,Volume
2024-01-02,12.50,12.80,12.40,12.75,15000000
2024-01-03,12.75,13.10,12.70,13.00,16000000
2024-01-04,13.00,13.50,12.95,13.45,18000000
2024-01-05,13.45,14.10,13.40,14.00,20000000
2024-01-08,14.00,14.20,13.80,13.90,14000000
2024-01-09,13.90,14.50,13.85,14.50,17000000
2024-01-10,14.50,14.60,14.10,14.20,13000000
2024-01-11,14.20,14.80,14.15,14.75,16000000
2024-01-12,14.75,15.40,14.70,15.35,19000000
2024-01-15,15.35,15.50,14.90,15.00,12000000
2024-01-16,15.00,15.20,14.60,14.70,11000000
2024-01-17,14.70,15.40,14.65,15.35,15000000
2024-01-18,15.35,16.00,15.30,15.95,21000000
2024-01-19,15.95,16.20,15.60,15.80,14000000
2024-01-22,15.80,16.50,15.75,16.45,18000000
2024-01-23,16.45,16.80,16.20,16.35,13000000
2024-01-24,16.35,17.10,16.30,17.05,20000000
2024-01-25,17.05,17.20,16.50,16.60,15000000
2024-01-26,16.60,17.35,16.55,17.30,19000000
2024-01-29,17.30,17.50,16.90,17.10,12000000
