date,open,high,low,close,volume
1980-12-12,0.0984,0.0989,0.0984,0.0984,1605922
1980-12-15,0.0937,0.0937,0.0933,0.0933,601965
1980-12-16,0.0869,0.0869,0.0864,0.0864,361853
1980-12-17,0.0886,0.0891,0.0886,0.0886,296024
1980-12-18,0.0912,0.0916,0.0912,0.0912,251510
1980-12-19,0.0967,0.0972,0.0967,0.0967,166484
1980-12-22,0.1014,0.1018,0.1014,0.1014,127842
1980-12-23,0.1056,0.1061,0.1056,0.1056,160622
1980-12-24,0.1112,0.1116,0.1112,0.1112,164233
1980-12-26,0.1215,0.1219,0.1215,0.1215,190184
1980-12-29,0.1232,0.1237,0.1232,0.1232,318848
1980-12-30,0.1207,0.1207,0.1202,0.1202,235724
1980-12-31,0.1173,0.1173,0.1168,0.1168,122398
1981-01-02,0.1181,0.1189,0.1181,0.1181,74158
1981-01-05,0.1159,0.1159,0.1155,0.1155,122245
1981-01-06,0.1108,0.1108,0.1104,0.1104,154560
1981-01-07,0.1061,0.1061,0.1056,0.1056,190509
1981-01-08,0.104,0.104,0.1035,0.1035,136313
1981-01-09,0.1091,0.1096,0.1091,0.1091,73602
1981-01-12,0.1091,0.1091,0.1083,0.1083,81148
1981-01-13,0.1048,0.1048,0.1044,0.1044,78875
1981-01-14,0.1048,0.1053,0.1048,0.1048,48912
1981-01-15,0.107,0.1078,0.107,0.107,48169
1981-01-16,0.1066,0.1066,0.1061,0.1061,45844
1981-01-19,0.1125,0.1129,0.1125,0.1125,142234
1981-01-20,0.1096,0.1096,0.1091,0.1091,102966
1981-01-21,0.1112,0.112,0.1112,0.1112,54412
1981-01-22,0.1125,0.1133,0.1125,0.1125,121620
1981-01-23,0.1126,0.1129,0.1121,0.1121,38415
1981-01-26,0.1108,0.1108,0.1104,0.1104,84333
1981-01-27,0.1104,0.1104,0.1096,0.1096,81145
1981-01-28,0.1066,0.1066,0.1061,0.1061,96364
1981-01-29,0.1027,0.1027,0.1023,0.1023,150306
1981-01-30,0.0975,0.0975,0.0967,0.0967,158125
1981-02-02,0.0916,0.0916,0.0912,0.0912,81382
1981-02-03,0.0945,0.095,0.0945,0.0945,65529
1981-02-04,0.098,0.0984,0.098,0.098,95393
1981-02-05,0.098,0.0988,0.098,0.098,27146
1981-02-06,0.0984,0.0989,0.0984,0.0984,47474
1981-02-09,0.0941,0.0941,0.0933,0.0933,57345
1981-02-10,0.0933,0.0937,0.0933,0.0933,62788
1981-02-11,0.0907,0.0907,0.0902,0.0902,47361
1981-02-12,0.0899,0.0899,0.0894,0.0894,49837
1981-02-13,0.0881,0.0881,0.0872,0.0872,38160
1981-02-17,0.0894,0.0899,0.0894,0.0894,42016
1981-02-18,0.0933,0.0941,0.0933,0.0933,65854
1981-02-19,0.0882,0.0882,0.0877,0.0877,76354
