date,ticket,open,high,low,close,volume
01/03/2025,BID,38200,38600,38200,38200,3698500
01/06/2025,BID,38300,39150,38200,38800,4820800
01/07/2025,BID,39100,40500,39050,40400,10448400
01/08/2025,BID,40400,40400,39650,40350,3125200
01/09/2025,BID,39900,40050,39350,39950,3599100
01/10/2025,BID,39900,39900,39100,39100,3114500
01/13/2025,BID,39100,39350,38400,39300,2461400
01/14/2025,BID,39200,39200,38900,39000,957600
01/15/2025,BID,39200,39200,38600,39200,1485800
01/16/2025,BID,39200,39500,39050,39400,1628500
01/17/2025,BID,39200,39500,39050,39500,1572900
01/20/2025,BID,39450,40100,39400,39900,2854300
01/21/2025,BID,40050,40050,39500,39800,2139600
01/22/2025,BID,39800,39800,39450,39500,2020900
01/23/2025,BID,39500,40100,39450,39900,2925500
01/24/2025,BID,39900,40000,39750,40000,2333900
02/03/2025,BID,39700,39900,39100,39400,3550500
02/04/2025,BID,39500,40100,39150,39650,4270900
02/05/2025,BID,39900,39950,39550,39600,2370300
02/06/2025,BID,39650,40000,39600,39800,3976100
02/07/2025,BID,39800,40800,39800,40500,8054000
02/10/2025,BID,40500,41200,40100,40350,4596700
02/11/2025,BID,40500,40750,40100,40450,2873800
02/12/2025,BID,40350,40450,39900,40000,4336000
02/13/2025,BID,40000,40250,39900,40000,2430100
02/14/2025,BID,40350,40850,40150,40650,4557800
02/17/2025,BID,40650,40650,40150,40200,2273100
02/18/2025,BID,40100,40650,40050,40500,3320100
02/19/2025,BID,40500,40900,40400,40850,5452400
02/20/2025,BID,41000,41050,40650,40900,3398400
02/21/2025,BID,40850,41050,40650,40900,2988800
02/24/2025,BID,40900,41400,40700,41100,4168600
02/25/2025,BID,41150,41350,41000,41250,4348800
02/26/2025,BID,41200,41250,40950,41200,3020100
02/27/2025,BID,41200,41300,40900,40950,2552300
02/28/2025,BID,40950,40950,40700,40950,3051600
03/03/2025,BID,40950,41200,40850,40950,1966100
03/04/2025,BID,40800,40900,40400,40800,3340100
03/05/2025,BID,40700,41150,40450,40650,2829800
03/06/2025,BID,40650,40900,40550,40800,2390500
03/07/2025,BID,40800,41150,40700,41150,4622400
03/10/2025,BID,41300,42000,41200,41400,4881700
03/11/2025,BID,40950,41400,40750,41400,3352200
03/12/2025,BID,41350,41400,40850,40900,3968100
03/13/2025,BID,40900,40900,40100,40200,3981300
03/14/2025,BID,40200,40400,40050,40400,2298100
03/17/2025,BID,40400,40550,40150,40350,3319900
03/18/2025,BID,40500,40600,40000,40000,3419200
03/19/2025,BID,40200,40200,39550,39800,3182000
03/20/2025,BID,39550,39900,39550,39800,2255800
03/21/2025,BID,39600,39800,39450,39450,2407600
03/24/2025,BID,39450,39500,39000,39100,3733500
03/25/2025,BID,39200,39700,39200,39700,2936500
03/26/2025,BID,39600,39850,39400,39550,2603800
03/27/2025,BID,39650,39650,39100,39100,1862400
03/28/2025,BID,39150,39250,39050,39100,1401500
03/31/2025,BID,39000,39000,38500,38750,2899600
04/01/2025,BID,38900,39000,38700,39000,1367000
04/02/2025,BID,39250,39250,38700,38700,3026000
04/03/2025,BID,37000,37900,36000,36000,7520100
04/04/2025,BID,33550,36000,33550,36000,6883200
04/08/2025,BID,35000,35500,33500,33500,4706500
04/09/2025,BID,31200,34500,31200,32450,6519100
04/10/2025,BID,34700,34700,34700,34700,635800
04/11/2025,BID,36900,36900,35550,36750,6947500
04/14/2025,BID,37000,37000,36000,37000,3547400
04/15/2025,BID,36600,36750,36000,36500,2999100
04/16/2025,BID,36100,36400,35700,36000,2914600
04/17/2025,BID,35200,35850,34950,35850,3126800
04/18/2025,BID,36200,36250,35850,35950,3477600
04/21/2025,BID,35950,36000,35100,35250,2105600
04/22/2025,BID,35150,35200,32800,35100,3599300
04/23/2025,BID,35750,35750,35000,35350,1849600
04/24/2025,BID,35350,35450,34900,35450,2028700
04/25/2025,BID,35300,35400,35000,35000,2684500
04/28/2025,BID,35300,35300,34400,34550,3320200
04/29/2025,BID,34600,34750,34350,34550,2440200
05/05/2025,BID,34650,34850,34300,34850,1834700
05/06/2025,BID,34900,35200,34550,34950,2972100
05/07/2025,BID,34800,34900,34600,34900,2129800
05/08/2025,BID,34900,35550,34700,35450,4666200
05/09/2025,BID,35550,35700,35100,35100,3058100
05/12/2025,BID,35100,35300,35000,35250,3137300
05/13/2025,BID,35450,35800,35300,35800,6592100
05/14/2025,BID,35950,37500,35900,37450,11855500
05/15/2025,BID,37500,37700,37150,37400,6223800
05/16/2025,BID,37400,37450,36550,36600,5773600
05/19/2025,BID,36500,36550,36100,36200,2742800
05/20/2025,BID,36250,36400,35850,36200,4650500
05/21/2025,BID,36350,36850,36000,36200,3685900
05/22/2025,BID,36200,36200,35850,36000,3481000
05/23/2025,BID,36000,36000,35500,35850,3338100
05/26/2025,BID,35850,35900,35000,35850,2512800
05/27/2025,BID,36000,36400,35800,36300,3546900
05/28/2025,BID,36950,36950,36050,36500,4671900
