date,ticket,open,high,low,close,volume
01/03/2025,MBB,25200,25200,24700,24700,11035600
01/06/2025,MBB,24700,24900,24400,24400,14555800
01/07/2025,MBB,21700,21700,21200,21650,11801300
01/08/2025,MBB,21450,21700,21450,21600,6536100
01/09/2025,MBB,21600,21700,21450,21500,4367500
01/10/2025,MBB,21450,21500,21150,21150,8681700
01/13/2025,MBB,21150,21500,20950,21500,7871600
01/14/2025,MBB,21400,21500,21150,21300,5736000
01/15/2025,MBB,21450,21500,21300,21350,4726200
01/16/2025,MBB,21500,21600,21350,21400,7329100
01/17/2025,MBB,21500,21500,21350,21500,4483700
01/20/2025,MBB,21500,21950,21500,21850,8238800
01/21/2025,MBB,21950,22050,21750,21850,6770200
01/22/2025,MBB,21950,21950,21750,21800,5961800
01/23/2025,MBB,21900,22250,21800,22200,13735100
01/24/2025,MBB,22050,22450,22050,22400,9798300
02/03/2025,MBB,22050,22250,21950,22050,9087900
02/04/2025,MBB,22200,22600,22100,22450,11057300
02/05/2025,MBB,22500,22550,22300,22500,7229500
02/06/2025,MBB,22550,22950,22550,22600,10756200
02/07/2025,MBB,22700,23000,22400,22750,14192900
02/10/2025,MBB,22700,23250,22450,22900,19336200
02/11/2025,MBB,23000,23000,22850,23000,7739300
02/12/2025,MBB,23000,23050,22700,22700,7185700
02/13/2025,MBB,22850,22900,22600,22900,7458100
02/14/2025,MBB,23000,23000,22800,22850,8160100
02/17/2025,MBB,22900,22900,22600,22650,8679000
02/18/2025,MBB,22650,22950,22600,22700,10082500
02/19/2025,MBB,22800,22950,22700,22850,9166500
02/20/2025,MBB,23000,23000,22850,22850,10831800
02/21/2025,MBB,22900,23150,22800,22900,20513900
02/24/2025,MBB,22800,23050,22800,23000,13460200
02/25/2025,MBB,23050,23550,23050,23400,37696200
02/26/2025,MBB,23500,23550,23200,23200,8376800
02/27/2025,MBB,23200,23250,22950,23200,12766600
02/28/2025,MBB,23100,23150,22950,23000,11052800
03/03/2025,MBB,23000,23100,22950,23100,9195600
03/04/2025,MBB,23050,23600,22850,23400,21367000
03/05/2025,MBB,23400,24100,23300,23550,30355700
03/06/2025,MBB,23700,24100,23500,24100,25919100
03/07/2025,MBB,24250,24900,24100,24500,47416100
03/10/2025,MBB,24750,24900,24450,24500,19419600
03/11/2025,MBB,24200,24800,24150,24800,26519300
03/12/2025,MBB,24900,25000,24600,24600,30957600
03/13/2025,MBB,24650,24700,24200,24300,23064100
03/14/2025,MBB,24250,24450,24150,24300,19724000
03/17/2025,MBB,24400,24450,24100,24300,25601900
03/18/2025,MBB,24400,24400,23900,23900,26614000
03/19/2025,MBB,23900,24000,23700,23850,20386000
