date,ticket,open,high,low,close,volume
01/03/2025,SSI,25900,25950,25350,25350,16065900
01/06/2025,SSI,25350,25500,24850,24900,9985000
01/07/2025,SSI,25350,25350,24500,24550,18563600
01/08/2025,SSI,24500,24800,24450,24700,9134400
01/09/2025,SSI,24700,24950,24400,24400,8907600
01/10/2025,SSI,24300,24550,23500,23700,21372700
01/13/2025,SSI,23550,24300,23550,24150,10836600
01/14/2025,SSI,24200,24200,23900,23950,8104900
01/15/2025,SSI,24150,24350,24000,24150,9867500
01/16/2025,SSI,24400,25200,24300,24400,18541100
01/17/2025,SSI,24400,24600,24250,24550,7043000
01/20/2025,SSI,24650,24650,24350,24500,6981800
01/21/2025,SSI,24550,24800,24400,24450,8023600
01/22/2025,SSI,24500,24750,24400,24400,9555200
01/23/2025,SSI,24450,25250,24450,25150,18477200
01/24/2025,SSI,25100,25250,25000,25250,9711000
02/03/2025,SSI,24850,25050,24750,24800,12857000
02/04/2025,SSI,24900,25450,24800,25300,15668800
02/05/2025,SSI,25450,25450,25050,25050,9632200
02/06/2025,SSI,25200,25400,25050,25050,9261600
02/07/2025,SSI,25050,25200,24950,25000,7845200
02/10/2025,SSI,24950,25150,24650,24900,15857200
02/11/2025,SSI,24950,25000,24650,24700,12930400
02/12/2025,SSI,24800,25050,24750,24750,6964800
02/13/2025,SSI,24750,24900,24700,24800,6768300
02/14/2025,SSI,25000,25300,24900,24900,16151100
02/17/2025,SSI,24900,25350,24800,25000,18463600
02/18/2025,SSI,25100,25300,25000,25150,9839100
02/19/2025,SSI,25250,25400,25050,25350,15517000
02/20/2025,SSI,25450,25550,25250,25250,13806600
02/21/2025,SSI,25200,25400,25150,25350,11577200
02/24/2025,SSI,25300,25850,25250,25850,25063000
02/25/2025,SSI,25900,26200,25750,25850,28069100
02/26/2025,SSI,25850,26100,25600,25850,25212900
02/27/2025,SSI,25950,26100,25600,26100,17996300
02/28/2025,SSI,26200,26800,26200,26300,41396500
03/03/2025,SSI,26300,26800,26150,26600,25645100
03/04/2025,SSI,26450,26600,26100,26350,24072400
03/05/2025,SSI,26400,26650,26100,26100,27564200
03/06/2025,SSI,26200,26950,26200,26900,44988800
03/07/2025,SSI,27100,27150,26800,26900,22896800
03/10/2025,SSI,27000,27250,26500,26650,45642300
03/11/2025,SSI,26350,26700,26350,26700,26426500
03/12/2025,SSI,26850,26950,26550,26700,26789200
03/13/2025,SSI,26750,27400,26450,26950,50816000
03/14/2025,SSI,27000,27200,26800,26950,29000300
03/17/2025,SSI,27100,27150,26850,27000,18091800
03/18/2025,SSI,27100,27450,26800,26800,29540500
03/19/2025,SSI,26700,26850,26500,26550,24310900
03/20/2025,SSI,26650,26850,26400,26550,19539500
03/21/2025,SSI,26600,26850,26500,26600,21205500
03/24/2025,SSI,26750,27150,26500,27150,24444800
03/25/2025,SSI,27300,27450,26900,26900,23603700
03/26/2025,SSI,26900,27050,26400,26500,26160400
03/27/2025,SSI,26500,26600,26300,26300,15067400
03/28/2025,SSI,26350,26550,26050,26350,17622200
03/31/2025,SSI,26150,26350,26000,26000,19494500
04/01/2025,SSI,26200,26250,25800,26050,18403500
04/02/2025,SSI,26150,26500,26100,26450,15569000
04/03/2025,SSI,25200,25800,24600,24600,54284800
04/04/2025,SSI,22900,23850,22900,23750,82040000
04/08/2025,SSI,23000,23100,22100,22100,31521000
04/09/2025,SSI,20600,22050,20600,20600,73685900
04/10/2025,SSI,22000,22000,22000,22000,5220200
04/11/2025,SSI,23000,23450,22400,23450,65051200
04/14/2025,SSI,23700,24100,23400,24100,36800400
04/15/2025,SSI,23800,24000,23200,23300,26171500
04/16/2025,SSI,23400,23600,23000,23000,18889600
04/17/2025,SSI,22800,23350,22800,23100,18654800
04/18/2025,SSI,23300,23950,23250,23350,26355500
04/21/2025,SSI,23400,23500,22850,22900,18530600
04/22/2025,SSI,22500,22900,21300,22250,48457200
04/23/2025,SSI,22950,22950,22600,22750,13492900
04/24/2025,SSI,22900,23150,22650,23000,17946000
04/25/2025,SSI,23200,23200,22800,22800,15312300
