date,ticket,open,high,low,close,volume
01/03/2025,TCB,24350,24350,23600,23600,17426900
01/06/2025,TCB,23600,23850,23500,23600,8132700
01/07/2025,TCB,23900,23900,23550,23650,7615500
01/08/2025,TCB,23800,24300,23650,23950,11947100
01/09/2025,TCB,24050,24050,23750,23950,4709000
01/10/2025,TCB,24000,24000,23400,23400,6232100
01/13/2025,TCB,23200,23800,23150,23800,7939900
01/14/2025,TCB,23550,23750,23500,23600,4180100
01/15/2025,TCB,23800,23900,23650,23700,6720200
01/16/2025,TCB,23850,23950,23600,23850,8074100
01/17/2025,TCB,23850,24400,23750,24400,10016400
01/20/2025,TCB,24400,24500,24250,24400,5183100
01/21/2025,TCB,24400,24500,24150,24200,8127000
01/22/2025,TCB,24450,24450,24150,24200,7455200
01/23/2025,TCB,24350,24850,24250,24600,21069200
01/24/2025,TCB,24800,24850,24650,24750,10331500
02/03/2025,TCB,24500,24700,24250,24250,10885100
02/04/2025,TCB,24350,24700,24300,24650,12471500
02/05/2025,TCB,24850,24900,24550,24700,9430900
02/06/2025,TCB,24900,25500,24800,25200,37579600
02/07/2025,TCB,25450,25800,25200,25750,26585000
02/10/2025,TCB,25750,26250,25450,25750,22152900
02/11/2025,TCB,26100,26150,25750,25900,15667000
02/12/2025,TCB,26000,26000,25700,25700,11524500
02/13/2025,TCB,25600,26000,25550,25950,11953600
02/14/2025,TCB,26100,26200,25900,26000,10239600
02/17/2025,TCB,26000,26100,25700,25700,10972700
02/18/2025,TCB,25700,26100,25650,25850,10757000
02/19/2025,TCB,25950,26150,25800,26100,12938100
02/20/2025,TCB,26200,26600,26050,26550,21179500
02/21/2025,TCB,26600,26600,26400,26500,8800600
02/24/2025,TCB,26400,26650,26300,26500,11762200
02/25/2025,TCB,26600,26800,26350,26400,14496400
02/26/2025,TCB,26400,26550,26300,26300,9946900
02/27/2025,TCB,26400,26400,26000,26250,12505900
02/28/2025,TCB,26250,26300,26050,26100,12220900
03/03/2025,TCB,26150,26300,26050,26100,9359400
03/04/2025,TCB,26100,27550,26000,27500,40196300
03/05/2025,TCB,27500,27600,27300,27300,13269400
03/06/2025,TCB,27450,27700,27350,27700,12570100
03/07/2025,TCB,27700,27900,27450,27750,14922200
03/10/2025,TCB,27750,28300,27700,27800,13907700
03/11/2025,TCB,27500,28000,27450,28000,15313400
03/12/2025,TCB,28100,28250,27800,27850,10861400
03/13/2025,TCB,27800,27800,27250,27300,18991700
03/14/2025,TCB,27100,27400,27100,27300,10662000
03/17/2025,TCB,27350,27450,27150,27450,11002100
03/18/2025,TCB,27500,27600,27300,27400,7945400
03/19/2025,TCB,27300,27350,27150,27250,12083700
03/20/2025,TCB,27500,27550,27100,27450,14430700
03/21/2025,TCB,27350,27550,27300,27350,7447300
03/24/2025,TCB,27350,28200,27200,28000,21083700
03/25/2025,TCB,28100,28200,27850,27900,8130100
03/26/2025,TCB,27900,28500,27800,28000,24089300
03/27/2025,TCB,28000,28150,27750,27750,7518900
03/28/2025,TCB,27750,27800,27450,27550,12353600
03/31/2025,TCB,27400,27500,27200,27500,12983300
04/01/2025,TCB,27500,28000,27400,27950,9054500
04/02/2025,TCB,28000,28150,27850,27900,6668600
04/03/2025,TCB,26950,27200,25950,25950,58893200
04/04/2025,TCB,24150,25750,24150,25700,56795800
04/08/2025,TCB,25000,25000,23950,23950,33465800
04/09/2025,TCB,22300,24900,22300,23600,40792200
04/10/2025,TCB,25250,25250,25250,25250,1241800
04/11/2025,TCB,26500,26600,25600,26600,47940500
04/14/2025,TCB,26600,26700,26100,26550,19905300
04/15/2025,TCB,26050,26350,25800,26000,21183400
04/16/2025,TCB,26150,26450,25750,25800,18147100
04/17/2025,TCB,25600,26000,25550,26000,14259300
04/18/2025,TCB,26500,26500,26000,26000,16887000
04/21/2025,TCB,26000,26300,25600,25750,12192200
04/22/2025,TCB,25250,25650,23950,25150,29523500
04/23/2025,TCB,25750,26300,25150,26100,18232600
04/24/2025,TCB,26000,26100,25700,25750,8915900
04/25/2025,TCB,25950,26050,25400,25950,19491800
04/28/2025,TCB,26000,26100,25800,26000,11163200
04/29/2025,TCB,26000,26600,26000,26300,18134300
05/05/2025,TCB,26650,26650,26150,26500,9048300
05/06/2025,TCB,26500,27200,26400,26850,24407100
05/07/2025,TCB,26850,27100,26600,27000,13694100
05/08/2025,TCB,27000,27450,26850,27400,18382100
05/09/2025,TCB,27300,28000,27250,27600,18296500
05/12/2025,TCB,27650,29450,27600,29400,46701100
05/13/2025,TCB,29500,29700,29150,29400,13206500
05/14/2025,TCB,29350,30500,29300,29850,19728500
05/15/2025,TCB,29900,30200,29550,29900,17783500
05/16/2025,TCB,29900,29900,29250,29450,20031000
05/19/2025,TCB,29200,29950,29100,29500,20464800
05/20/2025,TCB,29500,31100,29500,30950,38192300
05/21/2025,TCB,31000,31400,30700,30900,19486900
05/22/2025,TCB,30650,31200,30300,30500,28001500
05/23/2025,TCB,30550,30600,29800,30150,17854600
05/26/2025,TCB,30150,30350,29500,30350,20226200
05/27/2025,TCB,30600,31250,30350,30600,23572600
05/28/2025,TCB,30700,30800,30250,30500,18570300
05/29/2025,TCB,30500,30800,30300,30800,14712100
05/30/2025,TCB,30800,30800,30450,30450,9979500
