date,ticket,open,high,low,close,volume
01/03/2025,VND,12600,12650,12300,12350,9768200
01/06/2025,VND,12300,12400,11950,11950,8706200
01/07/2025,VND,11950,12150,11750,11800,7306000
01/08/2025,VND,11650,11950,11650,11850,6707400
01/09/2025,VND,11850,11950,11800,11800,3515600
01/10/2025,VND,11800,11850,11400,11450,10344300
01/13/2025,VND,11350,11650,11250,11550,9509300
01/14/2025,VND,11550,11550,11250,11250,5963300
01/15/2025,VND,11250,11500,11250,11450,5751100
01/16/2025,VND,11700,12250,11600,12250,19602200
01/17/2025,VND,12250,12250,12050,12150,5313500
01/20/2025,VND,12200,12300,11900,11950,8856800
01/21/2025,VND,12000,12200,11950,11950,7311800
01/22/2025,VND,12000,12050,11700,11700,7703800
01/23/2025,VND,11750,12200,11700,12000,8136600
01/24/2025,VND,12100,12100,11950,12000,5411600
02/03/2025,VND,11950,11950,11600,11600,13595900
02/04/2025,VND,11750,12400,11700,12400,19389000
02/05/2025,VND,12600,12750,12350,12450,15791500
02/06/2025,VND,12600,13150,12550,12900,21483200
02/07/2025,VND,13000,13000,12700,12800,7690700
02/10/2025,VND,12700,12800,12550,12600,12048700
02/11/2025,VND,12600,12750,12550,12650,8102000
02/12/2025,VND,12650,12950,12650,12700,7634600
02/13/2025,VND,12700,12750,12550,12650,8845900
02/14/2025,VND,12750,12900,12700,12750,11913100
02/17/2025,VND,12800,13300,12750,13100,24770300
02/18/2025,VND,13100,13300,13050,13200,11299900
02/19/2025,VND,13200,13350,13150,13300,14340500
02/20/2025,VND,13300,13500,13300,13400,16395500
02/21/2025,VND,13400,13450,13200,13350,13158900
02/24/2025,VND,13150,13600,13100,13550,18743900
02/25/2025,VND,13600,13950,13550,13700,22963600
02/26/2025,VND,13800,13900,13650,13750,12730700
02/27/2025,VND,13800,13800,13400,13650,17472700
02/28/2025,VND,13700,13900,13550,13600,12194300
03/03/2025,VND,13600,13800,13450,13700,11880500
03/04/2025,VND,13550,13700,13300,13550,13082200
03/05/2025,VND,13500,13750,13400,13400,14961000
03/06/2025,VND,13450,13800,13400,13800,20041300
03/07/2025,VND,13800,13900,13650,13700,13978100
03/10/2025,VND,13900,14450,13850,14100,31749600
03/11/2025,VND,13850,14500,13850,14350,31164000
03/12/2025,VND,14500,15200,14350,15100,63055400
03/13/2025,VND,15000,15300,14850,14950,35482600
03/14/2025,VND,14900,15150,14900,14950,24793400
03/17/2025,VND,15000,15100,14650,14900,18809000
03/18/2025,VND,15000,15250,14750,15200,28960400
03/19/2025,VND,15150,15200,14900,15100,21721000
03/20/2025,VND,15000,15250,14950,15150,24604300
03/21/2025,VND,15150,15650,15100,15350,41076800
03/24/2025,VND,15350,15600,15300,15600,22483700
03/25/2025,VND,15700,15750,15300,15350,22181600
03/26/2025,VND,15250,15500,15150,15250,20625300
03/27/2025,VND,15100,15650,15100,15550,22568100
03/28/2025,VND,15600,15900,15550,15700,27953000
03/31/2025,VND,15450,15600,15150,15300,17176800
04/01/2025,VND,15400,15600,15250,15400,12735800
04/02/2025,VND,15400,16000,15350,15900,25629700
04/03/2025,VND,15150,15250,14800,14800,37791900
04/04/2025,VND,13800,14600,13800,14600,42002400
04/08/2025,VND,14200,14300,13600,13600,16356700
04/09/2025,VND,12650,13750,12650,12650,36984300
04/10/2025,VND,13500,13500,13500,13500,1761900
04/11/2025,VND,14000,14400,13800,14400,30553700
04/14/2025,VND,14700,15400,14650,15350,21530800
04/15/2025,VND,15250,15600,14950,15000,24138400
04/16/2025,VND,15000,15450,15000,15200,20339700
04/17/2025,VND,14950,15450,14950,15400,19094200
04/18/2025,VND,15500,16200,15350,15650,41695100
04/21/2025,VND,15500,15600,15000,15350,32833500
04/22/2025,VND,15150,15150,14300,15000,59611100
04/23/2025,VND,15400,15400,15050,15100,12124900
