date,ticket,open,high,low,close,volume
01/03/2025,VPB,19100,19100,18750,18750,10601500
01/06/2025,VPB,18750,18900,18700,18800,6917300
01/07/2025,VPB,18850,18900,18700,18700,6745900
01/08/2025,VPB,18700,18900,18650,18850,4829800
01/09/2025,VPB,18900,18900,18650,18700,3978900
01/10/2025,VPB,18700,18750,18450,18500,6522500
01/13/2025,VPB,18450,18500,18250,18300,8588900
01/14/2025,VPB,18250,18350,18050,18150,11010000
01/15/2025,VPB,18300,18500,18200,18400,5618700
01/16/2025,VPB,18500,18500,18200,18400,9492000
01/17/2025,VPB,18400,18450,18300,18450,4423700
01/20/2025,VPB,18400,18550,18350,18400,6430800
01/21/2025,VPB,18500,18500,18250,18400,11084100
01/22/2025,VPB,18400,18500,18250,18350,10799900
01/23/2025,VPB,18500,18900,18400,18900,26477400
01/24/2025,VPB,18900,19000,18800,18900,11206200
02/03/2025,VPB,18800,18800,18500,18500,9498400
02/04/2025,VPB,18750,18800,18550,18750,11820000
02/05/2025,VPB,18750,19100,18750,19050,12836500
02/06/2025,VPB,19100,19200,18950,19050,9985800
02/07/2025,VPB,18950,19200,18900,18950,8925500
02/10/2025,VPB,18900,19100,18750,18850,13500000
02/11/2025,VPB,18850,19150,18800,18900,20352000
02/12/2025,VPB,19000,19100,18800,18900,7800900
02/13/2025,VPB,18900,19000,18800,18900,8322600
02/14/2025,VPB,19100,19150,19000,19000,11535000
02/17/2025,VPB,19000,19100,18850,18850,11944500
02/18/2025,VPB,18850,19200,18750,18950,18113100
02/19/2025,VPB,19000,19100,18950,19050,9257700
02/20/2025,VPB,19100,19300,19000,19200,18762900
02/21/2025,VPB,19150,19600,19050,19450,42288600
02/24/2025,VPB,19400,19550,19200,19550,22721400
02/25/2025,VPB,19550,19600,19250,19350,14015500
02/26/2025,VPB,19350,19400,19250,19250,11212100
02/27/2025,VPB,19250,19350,19050,19300,9546600
02/28/2025,VPB,19100,19400,19100,19300,9236600
03/03/2025,VPB,19350,19350,19100,19200,9400800
03/04/2025,VPB,19100,19200,18950,19100,19237100
03/05/2025,VPB,19100,19350,19000,19000,16030300
03/06/2025,VPB,19050,19350,19050,19150,20891200
03/07/2025,VPB,19200,19450,19150,19250,20716400
03/10/2025,VPB,19400,19650,19300,19400,34122100
03/11/2025,VPB,19250,19750,19200,19700,37545200
03/12/2025,VPB,19800,19800,19500,19600,27171700
03/13/2025,VPB,19650,19650,19200,19250,16157500
03/14/2025,VPB,19300,19600,19200,19600,17673600
03/17/2025,VPB,19750,20400,19600,20200,71545100
03/18/2025,VPB,20250,20300,19800,19800,25977100
03/19/2025,VPB,19750,19750,19400,19450,29438700
03/20/2025,VPB,19600,19700,19400,19600,18739400
03/21/2025,VPB,19600,19650,19400,19500,9370100
03/24/2025,VPB,19500,19650,19250,19600,16805100
03/25/2025,VPB,19650,19700,19450,19500,11786900
03/26/2025,VPB,19500,19650,19300,19350,9453500
03/27/2025,VPB,19250,19450,19250,19250,6689600
03/28/2025,VPB,19250,19400,19200,19250,11134300
03/31/2025,VPB,19150,19250,19000,19000,14764100
04/01/2025,VPB,19150,19200,19000,19150,8728300
04/02/2025,VPB,19150,19350,19100,19150,11401400
04/03/2025,VPB,18200,18550,17850,17850,40611200
04/04/2025,VPB,16800,17450,16650,17450,46810000
04/08/2025,VPB,17000,17200,16250,16250,24697900
04/09/2025,VPB,15200,16500,15150,15950,56107800
04/10/2025,VPB,17050,17050,17050,17050,1665400
04/11/2025,VPB,17000,17650,16800,17450,60038400
04/14/2025,VPB,17500,17700,17250,17300,28905800
04/15/2025,VPB,17200,17250,16850,16900,19615100
04/16/2025,VPB,16850,17000,16700,16800,13818200
04/17/2025,VPB,16800,16800,16350,16550,21615700
04/18/2025,VPB,16650,17250,16650,16950,16480100
04/21/2025,VPB,16900,17050,16700,16700,12080600
04/22/2025,VPB,16600,16800,15550,16600,30670500
04/23/2025,VPB,17000,17000,16700,16700,10954900
04/24/2025,VPB,16800,16950,16650,16650,12820700
04/25/2025,VPB,16700,16750,16450,16500,24808000
04/28/2025,VPB,16700,16700,16500,16550,9938200
04/29/2025,VPB,16600,16700,16500,16550,14256100
05/05/2025,VPB,16700,16750,16500,16600,7593000
05/06/2025,VPB,16700,17200,16650,16900,25315800
05/07/2025,VPB,16950,17000,16800,17000,10235800
05/08/2025,VPB,17050,17200,16950,17000,15414400
05/09/2025,VPB,17100,17250,16900,17000,17694500
05/12/2025,VPB,17100,17450,16950,17350,36530800
05/13/2025,VPB,17650,17700,17450,17700,27752400
05/14/2025,VPB,17800,18900,17750,18900,95581000
05/15/2025,VPB,18650,18800,18250,18550,55071300
05/16/2025,VPB,18350,18700,18050,18050,37978200
05/19/2025,VPB,18000,18850,17800,18200,64648000
05/20/2025,VPB,18200,18550,18150,18200,27838100
05/21/2025,VPB,18300,18800,18250,18450,68308300
05/22/2025,VPB,18500,18700,18200,18300,40934700
05/23/2025,VPB,18250,18350,18100,18100,14934100
05/26/2025,VPB,18100,18200,17300,18150,24583500
05/27/2025,VPB,18150,18300,18050,18100,22988200
05/28/2025,VPB,18200,18300,18000,18000,13063100
05/29/2025,VPB,18100,18550,18000,18150,46408000
05/30/2025,VPB,18250,18300,17900,17950,11859100
06/02/2025,VPB,17950,18150,17800,18000,13488800
06/03/2025,VPB,18100,18400,18000,18300,22863000
06/04/2025,VPB,18300,18550,18200,18250,41724400
06/05/2025,VPB,18200,18400,18050,18100,12655700
06/06/2025,VPB,18100,18100,17800,17800,20106300
06/09/2025,VPB,17750,17900,17650,17850,14015700
06/10/2025,VPB,17900,18200,17850,17950,20277000
06/11/2025,VPB,18050,18050,17900,18000,6795100
06/12/2025,VPB,18050,18300,18050,18200,21883000
06/13/2025,VPB,18050,18400,17900,18150,29219800
06/16/2025,VPB,18150,18800,18150,18800,71722500
06/17/2025,VPB,18900,19000,18600,18800,35021100
06/18/2025,VPB,18800,18950,18500,18500,23610700
06/19/2025,VPB,18500,18750,18500,18500,17971800
06/20/2025,VPB,18600,18850,18450,18450,24901400
06/23/2025,VPB,18350,18500,18250,18400,18209500
06/24/2025,VPB,18550,18750,18450,18550,42718000
06/25/2025,VPB,18600,18700,18400,18400,17177500
06/26/2025,VPB,18500,18550,18350,18350,10934900
06/27/2025,VPB,18500,18750,18450,18500,21153100
06/30/2025,VPB,18550,18650,18500,18500,11547500
07/01/2025,VPB,18500,18600,18400,18450,17060200
07/02/2025,VPB,18450,18600,18350,18600,18377700
07/03/2025,VPB,18550,18850,18500,18650,47153200
07/04/2025,VPB,18700,18850,18600,18750,22180000
07/07/2025,VPB,18900,19350,18900,19300,53672800
07/08/2025,VPB,19350,19600,19050,19600,45382200
07/09/2025,VPB,19800,20150,19700,20050,66441400
07/10/2025,VPB,20150,20250,19900,20150,36743400
07/11/2025,VPB,20200,20350,19900,20150,45180900
07/14/2025,VPB,20250,21200,20200,21000,63378600
07/15/2025,VPB,21150,21200,20750,20750,48779100
07/16/2025,VPB,20750,21000,20500,20850,31463400
07/17/2025,VPB,21000,21300,20750,20900,49437400
07/18/2025,VPB,20900,21650,20800,21350,47947600
07/21/2025,VPB,21600,22500,21350,22300,72588400
07/22/2025,VPB,22150,22600,21800,22500,41725200
07/23/2025,VPB,22800,23600,22500,23350,73950900
07/24/2025,VPB,23900,23900,23150,23500,47157800
07/25/2025,VPB,23500,24150,23400,24050,54483100
07/28/2025,VPB,24350,25150,24000,25100,57164800
07/29/2025,VPB,25100,25800,23550,23600,83065000
07/30/2025,VPB,23800,25250,23500,25250,70974800
07/31/2025,VPB,25800,26100,25550,25800,55195800
08/01/2025,VPB,25900,25900,25000,25800,55593400
08/04/2025,VPB,25250,26400,25250,26400,38227100
08/05/2025,VPB,26650,27650,25600,26500,71760200
08/06/2025,VPB,26550,27100,26300,27100,28376400
08/07/2025,VPB,27850,28950,27400,28950,62566800
08/08/2025,VPB,29500,29550,28000,29550,44921400
08/11/2025,VPB,29500,29950,29000,29600,33778300
08/12/2025,VPB,29600,29800,29200,29600,35529800
08/13/2025,VPB,29300,29550,28000,28800,43486100
08/14/2025,VPB,29400,30800,29200,30800,69328900
08/15/2025,VPB,32800,32800,30900,31100,64889700
08/18/2025,VPB,32050,32550,31600,32000,46632900
08/19/2025,VPB,32700,34200,32700,34200,21644900
08/20/2025,VPB,35600,36550,33700,36550,75558800
08/21/2025,VPB,37000,38900,36700,38650,51427900
08/22/2025,VPB,38000,38250,35950,35950,75347200
08/25/2025,VPB,35950,36000,33450,33500,67974200
08/26/2025,VPB,33050,34350,32750,34300,47968700
08/27/2025,VPB,34500,34700,32500,33300,57247900
08/28/2025,VPB,33100,34200,32600,34000,37019300
08/29/2025,VPB,34000,36300,33650,35000,65834600
09/03/2025,VPB,35150,35400,34350,34500,28617800
09/04/2025,VPB,34700,35000,33800,34900,44836900
09/05/2025,VPB,35500,35500,33500,33500,37902100
09/08/2025,VPB,33300,33350,31200,31200,58073200
09/09/2025,VPB,31500,32550,31350,32400,39698200
09/10/2025,VPB,32850,32950,31800,32450,22042300
09/11/2025,VPB,32050,32350,30450,32250,44389200
09/12/2025,VPB,32100,32300,31550,31600,23141700
09/15/2025,VPB,31500,32200,30950,31550,64130100
09/16/2025,VPB,31550,32850,31500,31700,70212600
09/17/2025,VPB,31700,31950,31000,31000,26679300
09/18/2025,VPB,31100,31250,30300,30800,26645900
09/19/2025,VPB,30900,30950,30000,30400,28454900
09/22/2025,VPB,30350,30400,29300,29500,54206200
09/23/2025,VPB,29600,30650,29600,29900,27129500
09/24/2025,VPB,30100,31600,29550,31600,40528600
09/25/2025,VPB,31700,31850,30900,30950,30534200
09/26/2025,VPB,30950,31100,30400,30400,25508600
09/29/2025,VPB,30500,31200,30050,31100,33075500
09/30/2025,VPB,31250,31250,30300,31100,28902200
10/01/2025,VPB,31100,31550,30850,30900,16624800
10/02/2025,VPB,31100,31500,30150,30150,31474300
10/03/2025,VPB,30150,30200,29500,29500,30206400
10/06/2025,VPB,30250,31550,30000,31550,42838700
10/07/2025,VPB,31900,31900,30900,31050,26704000
10/08/2025,VPB,31400,31650,30700,31100,25369900
10/09/2025,VPB,31300,32100,31100,32100,39130900
10/10/2025,VPB,32300,32350,31700,32100,34643000
10/13/2025,VPB,31600,31850,31250,31700,35739000
10/14/2025,VPB,31900,32850,31900,32500,57074600
10/15/2025,VPB,32750,34650,32750,33700,92652500
10/16/2025,VPB,33800,33900,33200,33200,30745500
10/17/2025,VPB,33200,33350,31900,31950,50287200
10/20/2025,VPB,31550,31800,29750,29750,52634700
10/21/2025,VPB,29500,30650,28350,30350,54104300
10/22/2025,VPB,30450,30450,29400,30450,26715100
10/23/2025,VPB,30500,30800,30000,30000,14351400
10/24/2025,VPB,29900,29900,29000,29200,23926000
10/27/2025,VPB,29500,29800,28300,28300,23908400
10/28/2025,VPB,28200,29450,28050,29450,26721300
10/29/2025,VPB,29700,30300,29450,29850,25082900
10/30/2025,VPB,30250,30250,28950,29200,19085200
10/31/2025,VPB,29200,29350,28650,28700,15506600
11/03/2025,VPB,29050,29050,27600,27600,23165800
11/04/2025,VPB,27550,29500,27250,29500,31974700
11/05/2025,VPB,29000,29450,28800,29250,13066000
11/06/2025,VPB,29200,29200,28400,28500,13235900
11/07/2025,VPB,28450,28500,27300,27500,23937800
11/10/2025,VPB,27400,28200,27400,27500,16818300
11/11/2025,VPB,27750,27800,27400,27500,14818100
11/12/2025,VPB,27650,28300,27500,28000,16274200
11/13/2025,VPB,28300,28350,27750,27750,12863200
11/14/2025,VPB,27600,28200,27600,27800,11783400
11/17/2025,VPB,27950,28400,27850,28100,12074200
11/18/2025,VPB,28300,28800,28150,28800,18859400
11/19/2025,VPB,28700,28750,28100,28100,16825600
11/20/2025,VPB,28250,28750,28000,28550,19548400
11/21/2025,VPB,28350,28700,28000,28550,18164600
11/24/2025,VPB,28550,29200,28400,29000,18118500
11/25/2025,VPB,28950,29000,28100,28200,14577900
11/26/2025,VPB,28200,29100,28200,29000,18812900
11/27/2025,VPB,29050,29500,28800,29100,14878100
11/28/2025,VPB,29100,29250,28700,29250,11904900
12/01/2025,VPB,29050,29550,28850,29300,11852800
12/02/2025,VPB,29250,29250,28700,28900,10412200
12/03/2025,VPB,29150,30300,29000,30250,30066400
12/04/2025,VPB,30350,30450,29900,30250,16875100
12/05/2025,VPB,30250,30300,29800,29850,12515000
12/08/2025,VPB,29800,30250,29550,29700,15691000
12/09/2025,VPB,29650,29700,28400,28750,25274800
12/10/2025,VPB,28750,29100,28500,29000,9284000
12/11/2025,VPB,28950,29000,28150,28150,10971700
12/12/2025,VPB,28100,28200,26550,26550,21016800
12/15/2025,VPB,26600,27500,26600,27500,18306600
12/16/2025,VPB,27450,28300,26800,28250,11815200
12/17/2025,VPB,28200,28300,27800,28000,6311700
12/18/2025,VPB,28000,28300,27700,28300,7996800
12/19/2025,VPB,28250,28450,28000,28450,9896000
12/22/2025,VPB,28450,29000,28100,29000,13903800
12/23/2025,VPB,29100,29400,28550,28700,12224300
12/24/2025,VPB,28600,29300,28400,29300,15286500
12/25/2025,VPB,29300,29700,28750,28750,14199000
12/26/2025,VPB,28200,28850,27350,28150,27183600
